"","LL","PS","HL","SSS","PR","SR","Yield"
"4032",66666667.5555556,15000.6666666667,1,4444445,1718761200.51602,1365423986.26921,1476782.90575278
"4033",133333334.111111,15000.6666666667,1,4444445,2061684471.57944,1591809205.31186,1522476.08483397
"4034",200000000.666667,15000.6666666667,1,4444445,2397498317.89787,1813133650.91398,1567341.6729889
"4035",266666667.222222,15000.6666666667,1,4444445,2726646759.89003,2029712788.05768,1611433.1714838
"4036",333333333.777778,15000.6666666667,1,4444445,3049535723.95672,2241835019.14921,1654799.4551097
"4037",400000000.333333,15000.6666666667,1,4444445,3366536861.37209,2449764397.23397,1697485.23685488
"4038",466666666.888889,15000.6666666667,1,4444445,3677990929.52141,2653743028.25804,1739531.47929471
"4039",533333333.444444,15000.6666666667,1,4444445,3984210792.19919,2853993202.67193,1780975.7596051
"4041",1,20000.5555555556,1,4444445,1510201440.66667,1218413996.47784,1568544.14327818
"4042",66666667.5555556,20000.5555555556,1,4444445,1853565306.84027,1445027970.68562,1614050.17080919
"4043",133333334.111111,20000.5555555556,1,4444445,2189605188.69971,1666432222.81554,1658711.76271876
"4044",200000000.666667,20000.5555555556,1,4444445,2518785283.84889,1882956335.19143,1702584.30974797
"4045",266666667.222222,20000.5555555556,1,4444445,2841529521.43658,2094901300.09221,1745718.35668558
"4046",333333333.777778,20000.5555555556,1,4444445,3158225647.45183,2302542420.55078,1788160.09507504
"4047",400000000.333333,20000.5555555556,1,4444445,3469228835.81995,2506131874.42681,1829951.7986913
"4048",466666666.888889,20000.5555555556,1,4444445,3774864887.5599,2705900985.96541,1871132.20930374
"4049",533333333.444444,20000.5555555556,1,4444445,4075433071.13355,2902062242.56965,1911736.87913832
"4051",1,25000.4444444444,1,4444445,1634580786.01259,1289709760.84389,1696668.01734122
"4052",66666667.5555556,25000.4444444444,1,4444445,1970975208.89821,1511283531.19017,1741137.00969634
"4053",133333334.111111,25000.4444444444,1,4444445,2300305615.06662,1727835486.4083,1784801.19938325
"4054",200000000.666667,25000.4444444444,1,4444445,2623015050.37788,1939679985.41248,1827712.89872881
"4055",266666667.222222,25000.4444444444,1,4444445,2939508326.72347,2147104258.14011,1869919.86212823
"4056",333333333.777778,25000.4444444444,1,4444445,3250155883.25046,2350371145.64213,1911465.74756921
"4057",400000000.333333,25000.4444444444,1,4444445,3555297201.49038,2549721523.58574,1952390.52478952
"4058",466666666.888889,25000.4444444444,1,4444445,3855243832.68349,2745376450.53842,1992730.83704315
"4059",533333333.444444,25000.4444444444,1,4444445,4150282087.08178,2937539076.36474,2032520.32243268
"4101",1,1,2111112,4444445,1168276536.81531,1119910232.3314,1008383.13200861
"4102",66666667.5555556,1,2111112,4444445,1532953045.19819,1361034767.46896,1057380.93918835
"4103",133333334.111111,1,2111112,4444445,1889727935.90293,1596546555.97325,1105425.86251811
"4104",200000000.666667,1,2111112,4444445,2239106020.18127,1826804389.88821,1152580.63879103
"4105",266666667.222222,1,2111112,4444445,2581548641.06174,2052136139.66548,1198902.57684961
"4106",333333333.777778,1,2111112,4444445,2917478030.66818,2272841854.94469,1244444.10202813
"4107",400000000.333333,1,2111112,4444445,3247281168.49988,2489196510.16057,1289253.23823472
"4108",466666666.888889,1,2111112,4444445,3571313205.30212,2701452440.97587,1333374.03574936
