,LL,PS,HL,SSS,PR,SR,Yield
347,189473684.9,40263.26316,1,1,2901031533,1996877921,1794008.769
348,221052632.2,40263.26316,1,1,3049253456,2093880320,1813615.575
349,252631579.5,40263.26316,1,1,3196198121,2189975705,1833082.305
350,284210526.8,40263.26316,1,1,3341901071,2285189251,1852413.019
351,315789474.2,40263.26316,1,1,3486396430,2379545124,1871611.609
352,347368421.5,40263.26316,1,1,3629716966,2473066534,1890681.815
353,378947368.8,40263.26316,1,1,3771894155,2565775773,1909627.223
354,410526316.1,40263.26316,1,1,3912958243,2657694264,1928451.28
355,442105263.4,40263.26316,1,1,4052938302,2748842596,1947157.295
356,473684210.7,40263.26316,1,1,4191862283,2839240565,1965748.449
357,505263158.1,40263.26316,1,1,4329757066,2928907211,1984227.797
361,1,42631.63158,1,1,2050838706,1437971959,1742177.212
362,31578948.32,42631.63158,1,1,2206073587,1539935500,1762504.928
363,63157895.63,42631.63158,1,1,2359809214,1640835116,1782668.002
364,94736842.95,42631.63158,1,1,2512090318,1740702480,1802671.533
365,126315790.3,42631.63158,1,1,2662959762,1839567940,1822520.403
366,157894737.6,42631.63158,1,1,2812458627,1937460585,1842219.29
367,189473684.9,42631.63158,1,1,2960626308,2034408306,1861772.677
368,221052632.2,42631.63158,1,1,3107500587,2130437855,1881184.861
369,252631579.5,42631.63158,1,1,3253117717,2225574901,1900459.962
370,284210526.8,42631.63158,1,1,3397512492,2319844080,1919601.932
371,315789474.2,42631.63158,1,1,3540718318,2413269044,1938614.564
372,347368421.5,42631.63158,1,1,3682767278,2505872510,1957501.498
373,378947368.8,42631.63158,1,1,3823690195,2597676299,1976266.228
374,410526316.1,42631.63158,1,1,3963516687,2688701385,1994912.112
375,442105263.4,42631.63158,1,1,4102275227,2778967926,2013442.372
376,473684210.7,42631.63158,1,1,4239993193,2868495306,2031860.107
377,505263158.1,42631.63158,1,1,4376696919,2957302172,2050168.296
401,1,1,1000000.947,1,176591044.5,169277767.4,33157.87325
402,31578948.32,1,1000000.947,1,359564017.5,291091615.9,57693.42441
403,63157895.63,1,1000000.947,1,540556520.4,411495388.1,81988.77952
404,94736842.95,1,1000000.947,1,719632069.8,530534274.8,106051.8468
405,126315790.3,1,1000000.947,1,896851441.3,648251515.8,129890.192
406,157894737.6,1,1000000.947,1,1072272809,764688500,153511.0557
407,189473684.9,1,1000000.947,1,1245951876,879884857.5,176921.3698
408,221052632.2,1,1000000.947,1,1417941998,993878548.2,200127.7728
409,252631579.5,1,1000000.947,1,1588294299,1106705944,223136.6246
410,284210526.8,1,1000000.947,1,1757057783,1218401907,245954.0198
